BelowCutoff_IRF_q10,BelowCutoff_IRF_q50,BelowCutoff_IRF_q90,EMP_IRF_q10,EMP_IRF_q50,EMP_IRF_q90,GDP_IRF_q10,GDP_IRF_q50,GDP_IRF_q90,TFP_IRF_q10,TFP_IRF_q50,TFP_IRF_q90
0,0,0,-0,-0,-0,0,0,0,0,0,0
-0.00147954428870805,0.00416726951868797,0.00965521153344636,0.124311122612396,0.2618881017615,0.429570970755174,0.953385478985971,1.12660138039255,1.31550812334204,1.82272585930891,1.98011681954243,2.1580802845005
-0.00137058767695497,0.00370614499659223,0.00881227916118231,0.0971550561760982,0.309755041425932,0.538877167378624,1.206024348429,1.53783355391171,1.87729499061804,1.80646015690442,2.09900417304987,2.41638399266492
-0.000585642125102027,0.00394147078520052,0.00841222853620969,0.200895797695771,0.430928523483814,0.683722960274172,1.29260978784967,1.69160799385438,2.12344078630987,1.81264830728766,2.11446175964598,2.48251092884521
-0.000215894452990811,0.00352327516624312,0.00720357832202164,0.206244890491567,0.427208493441079,0.687397186865577,1.31641274321641,1.72721323744249,2.21220183966855,1.77986927537637,2.08714604548406,2.48148695463013
-0.00010867150403794,0.00293014504470881,0.00607482535525525,0.191679568854318,0.386380619331273,0.636891630854696,1.31706108969653,1.72070315960998,2.23766726785179,1.74597422739901,2.05332567711764,2.45947961096434
2.06322595654359e-05,0.0024753431573553,0.00531212634541746,0.167383288417193,0.336721643659868,0.574970229386977,1.30689892818702,1.70483002406463,2.25927104128876,1.71023029756636,2.02331954020057,2.4305602240145
4.0646512644357e-05,0.0020380122892974,0.00458849604282942,0.137579767050356,0.289145357935014,0.507067610374645,1.29611574763801,1.68270865255118,2.26647507832036,1.67148197213096,1.99328318361485,2.38093708300282
8.2005123734492e-05,0.00167201401203161,0.00390916586001015,0.116336737624811,0.241146115065897,0.438056021831012,1.27629951727951,1.67320010896722,2.27437357234848,1.63722810890392,1.96450085743342,2.35917523666906
1.39548713767561e-05,0.00138917203681184,0.00341311590627057,0.093106757079307,0.203392333033697,0.387532540084431,1.26901060367116,1.66647369710051,2.27370746949946,1.61060239178293,1.9419264814353,2.33866921656654
1.45709847423458e-05,0.00117079923526998,0.00296787100034809,0.0738972085387388,0.172548660722079,0.348811201888023,1.25609226050823,1.66111055316538,2.28628829425783,1.58984745986599,1.92209429356695,2.33029942637159
-5.74756318144148e-05,0.000997015433349443,0.00262023600823016,0.0584942539390105,0.143280795544646,0.313869641216109,1.24548945403005,1.65480316844806,2.2986201377703,1.56889048288001,1.90630981585501,2.32262372107931
-7.19185591105458e-05,0.000832965347038592,0.00230230634203445,0.0448634692485301,0.121647256336153,0.276912634398489,1.24204637133262,1.64612468303214,2.29114627187436,1.54583815102909,1.89347317744554,2.31898986940774
-0.000116300220768313,0.000700430081455014,0.0020018816640068,0.0349009973985284,0.102609827993422,0.245027042505381,1.2328672059804,1.64251951532829,2.28570551667137,1.53050520684321,1.88169221169059,2.31402117952053
-0.000110600630600158,0.000578384380035064,0.00177272762263072,0.0271138872226941,0.0863729657223914,0.219232980784637,1.22541068043404,1.64235871332746,2.29381092595878,1.51831498582332,1.87135346862687,2.31047214099887
-0.000131504276849415,0.00049034759690001,0.00161039949885078,0.0198750947598269,0.0726500263574905,0.197020272495866,1.22508317447104,1.64106185881807,2.29729967351071,1.50511107205105,1.86474199013375,2.30317103867809
-0.000143973971331766,0.000405533679799991,0.00141968532488054,0.0147083323425739,0.0611145082309432,0.176568700573943,1.22404008799979,1.63911719344538,2.29962508793005,1.49464854370812,1.85680594759424,2.30024047994308
-0.000149033185032833,0.00032795279673284,0.00128624248160145,0.0108497831613491,0.0509455557032575,0.158073091206215,1.22363367723595,1.63762337125767,2.30458236091525,1.48774535267686,1.85032336738292,2.29880996790568
-0.0001445926680267,0.000274241222772621,0.00117222787399538,0.00782532450474256,0.0434713020512141,0.142092439770405,1.22333387575762,1.63485480186741,2.29909422259627,1.47967291581535,1.84619955899249,2.29896184068729
-0.000147852524513997,0.00023107086086667,0.00104950273083294,0.00587863833590036,0.0371776535933924,0.126523769975671,1.22311276308957,1.63173320791682,2.29596283974449,1.47129172846761,1.8430543691079,2.29634359753637
-0.000139703174434688,0.000195586376129473,0.000943313141124813,0.00440160341381977,0.0313939514202975,0.114189270267228,1.22196567845823,1.62787891268094,2.30248244848714,1.46748060170652,1.83835545825362,2.29185473418767
-0.000119646757716875,0.000162226605564103,0.000847293551230089,0.00313006014412837,0.0262429368979696,0.103877581139635,1.21987950440376,1.62910107408356,2.31742785355578,1.45861055538263,1.83513272437686,2.28638214387868
-0.000105703636660656,0.00013394189539054,0.000772462663781384,0.00230009374325456,0.0223599393540293,0.0930180075425801,1.21807786905531,1.62863637760835,2.32398036861786,1.45219222681201,1.83210739092396,2.28158334594511
-0.000105208284596686,0.000111521773076283,0.000704872214673986,0.00165552463515706,0.0188287027843905,0.084533838836935,1.21853970762371,1.62837173726428,2.32316274219727,1.44906800709857,1.82960281536412,2.27902420911721
-0.000109981035546556,9.16860439052088e-05,0.000643239193948183,0.00115990841774478,0.0160288181779985,0.0773350975034699,1.21791763520737,1.62793581217746,2.3224743857169,1.44252783372211,1.82814878112121,2.27811685602196
-9.96259513773864e-05,7.68075552964471e-05,0.000583537296299882,0.000873400717245839,0.0137264283633001,0.0709095343016721,1.21715903450401,1.62764895170388,2.32189507759277,1.43852979471536,1.82788492535917,2.27659004126575
-9.31353147840279e-05,6.40923083636642e-05,0.000530481030050492,0.000590199125581414,0.0115595245180536,0.0646521669144273,1.2164783795671,1.62772142011504,2.32140771335293,1.43554708513836,1.82729889969828,2.27478307952961
-8.0611399669396e-05,5.3601149694075e-05,0.00048425184727322,0.000417740701493269,0.00980423361345148,0.058121130602921,1.2158671176049,1.62786813152664,2.32099782765607,1.43298309406868,1.82477931250464,2.27430437421325
-7.11244962276584e-05,4.51892783905766e-05,0.000447842181409019,0.000282400542593638,0.00825146225826667,0.052845405489327,1.21573569640733,1.62785996400874,2.32065319551061,1.42566778039444,1.82293216765317,2.27390324349651
-6.32305937913866e-05,3.74954584812518e-05,0.000408507291962182,0.000194708703215503,0.00707120025105911,0.0485247801215946,1.21565245889704,1.62779416215138,2.32036349863584,1.42396132930769,1.82198391196469,2.27145453850835
-6.06899054781275e-05,3.15227019576015e-05,0.000376666365718493,0.000115616146784081,0.00598717385485677,0.04457339050071,1.21531872071015,1.62761191371906,2.3213533525721,1.42135192767291,1.82113191604798,2.26872524661837
-5.7768431009827e-05,2.62937711441573e-05,0.000347360103604764,6.35063633875578e-05,0.0050914166151906,0.0408863018682144,1.21520469584129,1.62746100331972,2.32405044382225,1.41953113245928,1.82063659702593,2.26824042780032
-5.30511379968011e-05,2.25013432418399e-05,0.000319751535050443,3.54872928841852e-05,0.00428633048867494,0.0373614904326605,1.21525229776267,1.627335973471,2.32705914876882,1.41880468853869,1.82045812387373,2.26782326946574
-4.60931348460649e-05,1.90329541716542e-05,0.000296945049199891,1.58240569138657e-05,0.00364932527868527,0.034173738708985,1.21531183399198,1.62614294031368,2.33041793451206,1.41818689345385,1.81950871292045,2.26746432130227
-4.01942487043752e-05,1.6596695300194e-05,0.000273900053640016,1.95656301167527e-06,0.00306195633584707,0.0313527900977645,1.21537934020362,1.62600092406784,2.32986703608969,1.41613875093854,1.81868271315569,2.26715545261026
-3.50596733494232e-05,1.39003824361899e-05,0.000248542057133985,-3.47188368616544e-06,0.00259355466979254,0.0289209049993747,1.21545170473428,1.62588404288631,2.32937302031215,1.41247748576103,1.81817054202409,2.26688966843453
-3.09509948016463e-05,1.17199954547226e-05,0.000226522484314693,-8.67157072968541e-06,0.00222843308693858,0.0266666406151277,1.21533501741746,1.625779745346,2.3289292522418,1.41027511575022,1.81790494583004,2.26666095128323
-2.77944142255925e-05,9.95990369564446e-06,0.00020887469423451,-2.10096589642556e-05,0.00188112520032034,0.0242141033480645,1.21531080996435,1.62556095291895,2.3285299992544,1.40917796549737,1.81779153403321,2.26646412463697
-2.50434249785813e-05,8.39948635241718e-06,0.000192894353927258,-2.12990932162405e-05,0.00162280232032097,0.022099693566566,1.2152896182686,1.62537206993811,2.32834730154246,1.40873327347957,1.81776664109805,2.26629473546577
-2.18831575755597e-05,7.21564042253588e-06,0.000174948552242934,-2.72789109834401e-05,0.00135783864421247,0.0204175035015447,1.21527102200986,1.6255714939068,2.32960684458753,1.40834764504341,1.8176956127048,2.26614895316291
-1.88022000703912e-05,6.0386430431504e-06,0.000161849375355355,-2.71917775657611e-05,0.00114365287081435,0.0186636334038753,1.21525467160959,1.62583933938401,2.33079452664859,1.40713045923913,1.81738909500495,2.26602348253453
